06027,0,"District 27 - San Jose"
06066,231,"District 66 - Torrance"
06039,173,"District 39 - East San Fernando Valley"
06062,0,"District 62 - Inglewood"
06029,0,"District 29 - Santa Cruz-Monterey"
06035,0,"District 35 - San Luis Obispo"
06067,0,"District 67 - Lake Elsinore-Murrieta"
06019,303,"District 19 - West San Francisco"
06070,230,"District 70 - Long Beach"
06023,0,"District 23 - Fresno"
06055,241,"District 55 - Yorba Linda"
06048,0,"District 48 - West Covina"
06077,0,"District 77 - North San Diego"
06001,418,"District 1 - Northern Sierra"
06015,341,"District 15 - Richmond-Berkeley"
06024,288,"District 24 - Palo Alto-Mountain View"
06063,177,"District 63 - South Gate-Lakewood"
06041,233,"District 41 - Pasadena"
06030,220,"District 30 - East Monterey"
06043,0,"District 43 - Glendale-Burbank"
06071,329,"District 71 - East San Diego County"
06061,0,"District 61 - Riverside"
06058,213,"District 58 - Montebello-Downey"
06009,196,"District 9 - South Sacramento"
06011,238,"District 11 - Fairfield-Delta"
06028,0,"District 28 - Cupertino-Los Gatos"
06045,192,"District 45 - West San Fernando Valley"
06069,0,"District 69 - Anaheim-Santa Ana"
06047,0,"District 47 - Rialto"
06064,0,"District 64 - Compton"
06008,190,"District 8 - East Sacramento"
06013,324,"District 13 - Stockton-Tracy"
06076,242,"District 76 - Oceanside"
06021,0,"District 21 - Modesto-Merced"
06031,0,"District 31 - West Fresno"
06032,0,"District 32 - Kings"
06059,0,"District 59 - South Los Angeles"
06007,0,"District 7 - Sacramento"
06022,316,"District 22 - San Mateo"
06056,323,"District 56 - Imperial County"
06068,0,"District 68 - Tustin-Lake Forest"
06014,0,"District 14 - Vallejo-Concord"
06046,0,"District 46 - Van Nuys-Sherman Oaks"
06057,226,"District 57 - Whittier"
06042,306,"District 42 - Yucaipa-Palm Desert"
06075,0,"District 75 - Temecula-Escondido"
06010,0,"District 10 - Marin-Petaluma"
06037,372,"District 37 - Santa Barbara"
06038,0,"District 38 - Simi Valley-Santa Clarita"
06026,139,"District 26 - Tulare-Inyo"
06074,280,"District 74 - Irvine"
06025,251,"District 25 - Fremont-Santa Clara"
06006,0,"District 6 - Roseville-Folsom"
06079,0,"District 79 - East San Diego"
06005,0,"District 5 - Central Sierra"
06016,0,"District 16 - Tri-Valley"
06051,0,"District 51 - East Los Angeles"
06052,223,"District 52 - Ontario"
06053,132,"District 53 - Downtown Los Angeles"
06004,0,"District 4 - Napa-Yolo-Dixon"
06012,0,"District 12 - East San Joaquin-Stanislaus"
06065,0,"District 65 - Fullerton"
06003,0,"District 3 - Butte-Tehama-Yuba"
06050,0,"District 50 - West Los Angeles"
06060,0,"District 60 - Corona"
06033,673,"District 33 - San Bernardino"
06044,269,"District 44 - Oxnard-Thousand Oaks"
06073,255,"District 73 - Dana Point-San Clemente"
06034,0,"District 34 - Bakersfield"
06002,0,"District 2 - North Coast"
06020,0,"District 20 - Hayward"
06040,429,"District 40 - Redlands"
06049,0,"District 49 - Alhambra-Monterey Park"
06080,0,"District 80 - South San Diego"
06018,0,"District 18 - Oakland-San Leandro"
06054,248,"District 54 - Culver City"
06078,0,"District 78 - Coastal San Diego"
06072,231,"District 72 - Seal Beach-Westminster"
06036,0,"District 36 - Palmdale"
06017,0,"District 17 - East San Francisco"
